BaseDateTime,LAT,LON,IMO
2023-01-08T00:00:01,30.39662,-88.26066,IMO8038443
2023-01-08T00:00:01,30.27109,-89.16142,IMO8981418
2023-01-08T00:00:01,29.74491,-93.86958,IMO9423138
2023-01-08T00:00:02,33.97616,-118.44263,IMO0000000
2023-01-08T00:00:02,29.60324,-94.95503,IMO7819498
2023-01-08T00:00:02,47.66369,-122.3906,IMO8124230
2023-01-08T00:00:02,41.81511,-71.40023,IMO8218914
2023-01-08T00:00:02,38.26514,-90.37122,IMO8635526
2023-01-08T00:00:03,40.64873,-74.11161,IMO9796731
2023-01-08T00:00:03,27.39048,-96.8563,IMO9912000
2023-01-08T00:00:04,39.71695,-75.51709,IMO8973007
2023-01-08T00:00:04,36.96818,-76.11319,IMO8976487
2023-01-08T00:00:04,36.90535,-122.64424,IMO9311191
2023-01-08T00:00:04,29.21507,-94.55607,IMO9406611
2023-01-08T00:00:04,28.66875,-94.66439,IMO9675509
2023-01-08T00:00:05,29.88299,-91.42695,IMO8635588
2023-01-08T00:00:05,32.68642,-117.13364,IMO9529762
2023-01-08T00:00:05,27.63299,-82.56091,IMO9641742
2023-01-08T00:00:06,39.26925,-76.58066,IMO9369215
2023-01-09T00:00:00,41.07989,-73.17436,IMO5108182
2023-01-09T00:00:00,48.85729,-123.31894,IMO9905746
2023-01-09T00:00:01,29.03717,-94.47834,IMO9348651
2023-01-09T00:00:02,24.78435,-82.40725,IMO8961298
2023-01-09T00:00:02,30.07258,-93.34095,IMO8968234
2023-01-09T00:00:03,30.27275,-91.14204,IMO8964733
2023-01-09T00:00:04,29.21643,-90.22113,IMO8978722
2023-01-09T00:00:04,38.62049,-74.82227,IMO9189897
2023-01-09T00:00:06,34.16869,-119.2225,IMO0000000
2023-01-09T00:00:06,29.24607,-94.78967,IMO8644589
2023-01-09T00:00:06,26.31173,-79.41543,IMO9351452
2023-01-09T00:00:07,33.75996,-118.18524,IMO0000000
2023-01-09T00:00:07,25.79889,-80.24905,IMO0682459
2023-01-09T00:00:22,37.76716,-122.28651,IMO0000000
2023-01-09T00:00:23,37.67234,-122.37962,IMO0000000
2023-01-10T00:00:00,48.95026,-125.55733,IMO9211810
